game_id,state,final_score,number_of_levels,actions,generated_tokens,elapsed_seconds
tn36-ef4dde99,gave_up,10.714285714285714,7,128,71015,7732.123
lf52-271a04aa,gave_up,1.8181818181818181,10,83,62098,7900.273
cn04-2fe56bfb,gave_up,13.222654141021488,6,79,117328,7913.034
bp35-0a0ad940,gave_up,1.7013888888888888,9,63,57521,7790.119
wa30-ee6fef47,gave_up,0.0,9,315,77492,7395.706
lp85-305b61c3,gave_up,2.7777777777777777,8,101,52656,7503.342
r11l-495a7899,gave_up,4.761904761904762,6,37,92076,7840.315
tu93-0768757b,gave_up,3.7829599146471575,9,63,62482,6406.93
sp80-589a99af,gave_up,0.0,6,396,100928,7750.575
m0r0-492f87ba,gave_up,0.0,6,74,68459,7796.026
vc33-5430563c,gave_up,21.428571428571427,7,96,71409,7807.866
ar25-0c556536,gave_up,8.333333333333332,8,229,56963,7122.296
ka59-38d34dbb,gave_up,10.714285714285714,7,235,90933,7850.176
sc25-635fd71a,gave_up,11.025762980578676,6,306,55832,7697.623
sk48-d8078629,gave_up,0.0,8,89,71766,7842.387
dc22-fdcac232,gave_up,13.89925925925926,6,187,84934,7583.205
cd82-fb555c5d,gave_up,4.678571428571429,6,147,97530,7753.522
ft09-0d8bbf25,gave_up,18.394529507953024,6,136,88733,7166.332
g50t-5849a774,gave_up,0.0,7,61,73727,5615.814
ls20-9607627b,gave_up,0.0,7,69,46166,5220.55
re86-8af5384d,gave_up,13.841145833333334,8,196,80732,7886.119
s5i5-18d95033,gave_up,1.7777777777777781,8,178,61683,7878.778
sb26-7fbdac44,gave_up,2.7777777777777777,8,177,65923,7815.789
su15-1944f8ab,gave_up,1.3718820861678003,9,261,84921,7874.765
tr87-cd924810,gave_up,0.0,6,25,75065,6519.14
